employeenumber,total_risk_points,risk_degree
1,1,"Medium Risk"
2,1,"Medium Risk"
4,2,"HIGH RISK"
5,1,"Medium Risk"
7,0,"low risk"
8,1,"Medium Risk"
10,3,"HIGH RISK"
11,0,"low risk"
12,0,"low risk"
13,1,"Medium Risk"
14,1,"Medium Risk"
15,1,"Medium Risk"
16,1,"Medium Risk"
18,1,"Medium Risk"
19,2,"HIGH RISK"
20,1,"Medium Risk"
21,2,"HIGH RISK"
22,2,"HIGH RISK"
23,0,"low risk"
24,2,"HIGH RISK"
26,0,"low risk"
27,2,"HIGH RISK"
28,0,"low risk"
30,1,"Medium Risk"
31,1,"Medium Risk"
32,0,"low risk"
33,3,"HIGH RISK"
35,0,"low risk"
36,0,"low risk"
38,1,"Medium Risk"
39,1,"Medium Risk"
40,1,"Medium Risk"
41,1,"Medium Risk"
42,1,"Medium Risk"
45,1,"Medium Risk"
46,0,"low risk"
47,1,"Medium Risk"
49,1,"Medium Risk"
51,2,"HIGH RISK"
52,1,"Medium Risk"
53,1,"Medium Risk"
54,1,"Medium Risk"
55,1,"Medium Risk"
56,0,"low risk"
57,1,"Medium Risk"
58,0,"low risk"
60,1,"Medium Risk"
61,1,"Medium Risk"
62,1,"Medium Risk"
63,1,"Medium Risk"
64,1,"Medium Risk"
65,2,"HIGH RISK"
68,2,"HIGH RISK"
70,2,"HIGH RISK"
72,2,"HIGH RISK"
73,1,"Medium Risk"
74,2,"HIGH RISK"
75,3,"HIGH RISK"
76,0,"low risk"
77,0,"low risk"
78,1,"Medium Risk"
79,1,"Medium Risk"
80,1,"Medium Risk"
81,2,"HIGH RISK"
83,0,"low risk"
84,1,"Medium Risk"
85,1,"Medium Risk"
86,1,"Medium Risk"
88,2,"HIGH RISK"
90,1,"Medium Risk"
91,0,"low risk"
94,1,"Medium Risk"
95,1,"Medium Risk"
96,0,"low risk"
97,1,"Medium Risk"
98,0,"low risk"
100,2,"HIGH RISK"
101,2,"HIGH RISK"
102,0,"low risk"
103,2,"HIGH RISK"
104,1,"Medium Risk"
105,1,"Medium Risk"
106,0,"low risk"
107,2,"HIGH RISK"
110,1,"Medium Risk"
112,0,"low risk"
113,2,"HIGH RISK"
116,1,"Medium Risk"
117,0,"low risk"
118,0,"low risk"
119,0,"low risk"
120,2,"HIGH RISK"
121,2,"HIGH RISK"
124,2,"HIGH RISK"
125,1,"Medium Risk"
126,0,"low risk"
128,1,"Medium Risk"
129,1,"Medium Risk"
131,0,"low risk"
132,1,"Medium Risk"
133,2,"HIGH RISK"
134,1,"Medium Risk"
137,2,"HIGH RISK"
138,0,"low risk"
139,0,"low risk"
140,0,"low risk"
141,2,"HIGH RISK"
142,2,"HIGH RISK"
143,1,"Medium Risk"
144,1,"Medium Risk"
145,1,"Medium Risk"
147,2,"HIGH RISK"
148,1,"Medium Risk"
150,1,"Medium Risk"
151,0,"low risk"
152,0,"low risk"
153,1,"Medium Risk"
154,1,"Medium Risk"
155,1,"Medium Risk"
158,1,"Medium Risk"
159,1,"Medium Risk"
160,0,"low risk"
161,2,"HIGH RISK"
162,0,"low risk"
163,2,"HIGH RISK"
164,1,"Medium Risk"
165,0,"low risk"
167,2,"HIGH RISK"
169,0,"low risk"
170,1,"Medium Risk"
171,1,"Medium Risk"
174,0,"low risk"
175,2,"HIGH RISK"
176,1,"Medium Risk"
177,1,"Medium Risk"
178,0,"low risk"
179,0,"low risk"
182,1,"Medium Risk"
183,0,"low risk"
184,2,"HIGH RISK"
190,2,"HIGH RISK"
192,1,"Medium Risk"
193,1,"Medium Risk"
194,1,"Medium Risk"
195,0,"low risk"
197,2,"HIGH RISK"
198,1,"Medium Risk"
199,1,"Medium Risk"
200,2,"HIGH RISK"
201,1,"Medium Risk"
202,0,"low risk"
204,0,"low risk"
205,2,"HIGH RISK"
206,0,"low risk"
207,0,"low risk"
208,1,"Medium Risk"
211,0,"low risk"
214,2,"HIGH RISK"
215,0,"low risk"
216,1,"Medium Risk"
217,0,"low risk"
218,1,"Medium Risk"
221,0,"low risk"
223,1,"Medium Risk"
224,2,"HIGH RISK"
226,0,"low risk"
227,1,"Medium Risk"
228,0,"low risk"
230,1,"Medium Risk"
231,1,"Medium Risk"
233,1,"Medium Risk"
235,2,"HIGH RISK"
238,1,"Medium Risk"
239,1,"Medium Risk"
240,2,"HIGH RISK"
241,3,"HIGH RISK"
242,1,"Medium Risk"
243,1,"Medium Risk"
244,1,"Medium Risk"
245,1,"Medium Risk"
246,1,"Medium Risk"
247,1,"Medium Risk"
248,1,"Medium Risk"
249,0,"low risk"
250,1,"Medium Risk"
252,1,"Medium Risk"
253,0,"low risk"
254,1,"Medium Risk"
256,1,"Medium Risk"
258,0,"low risk"
259,0,"low risk"
260,1,"Medium Risk"
261,1,"Medium Risk"
262,1,"Medium Risk"
264,0,"low risk"
267,3,"HIGH RISK"
269,0,"low risk"
270,0,"low risk"
271,0,"low risk"
273,1,"Medium Risk"
274,2,"HIGH RISK"
275,1,"Medium Risk"
277,2,"HIGH RISK"
281,2,"HIGH RISK"
282,2,"HIGH RISK"
283,0,"low risk"
284,2,"HIGH RISK"
286,1,"Medium Risk"
287,0,"low risk"
288,1,"Medium Risk"
291,0,"low risk"
292,1,"Medium Risk"
293,0,"low risk"
296,0,"low risk"
297,3,"HIGH RISK"
298,1,"Medium Risk"
299,2,"HIGH RISK"
300,1,"Medium Risk"
302,0,"low risk"
303,2,"HIGH RISK"
304,1,"Medium Risk"
305,1,"Medium Risk"
306,1,"Medium Risk"
307,1,"Medium Risk"
308,1,"Medium Risk"
309,1,"Medium Risk"
311,0,"low risk"
312,0,"low risk"
314,0,"low risk"
315,2,"HIGH RISK"
316,0,"low risk"
319,0,"low risk"
321,1,"Medium Risk"
323,0,"low risk"
325,2,"HIGH RISK"
327,1,"Medium Risk"
328,2,"HIGH RISK"
329,1,"Medium Risk"
330,1,"Medium Risk"
331,2,"HIGH RISK"
332,1,"Medium Risk"
333,0,"low risk"
334,2,"HIGH RISK"
335,0,"low risk"
336,0,"low risk"
337,1,"Medium Risk"
338,1,"Medium Risk"
339,1,"Medium Risk"
340,2,"HIGH RISK"
341,0,"low risk"
342,0,"low risk"
343,0,"low risk"
346,1,"Medium Risk"
347,2,"HIGH RISK"
349,0,"low risk"
350,1,"Medium Risk"
351,3,"HIGH RISK"
352,0,"low risk"
353,1,"Medium Risk"
355,0,"low risk"
359,1,"Medium Risk"
361,0,"low risk"
362,2,"HIGH RISK"
363,1,"Medium Risk"
364,1,"Medium Risk"
366,0,"low risk"
367,1,"Medium Risk"
369,2,"HIGH RISK"
372,1,"Medium Risk"
373,1,"Medium Risk"
374,2,"HIGH RISK"
376,2,"HIGH RISK"
377,1,"Medium Risk"
378,0,"low risk"
379,1,"Medium Risk"
380,1,"Medium Risk"
381,1,"Medium Risk"
382,3,"HIGH RISK"
384,0,"low risk"
385,0,"low risk"
386,2,"HIGH RISK"
387,1,"Medium Risk"
388,1,"Medium Risk"
389,1,"Medium Risk"
390,3,"HIGH RISK"
391,1,"Medium Risk"
392,1,"Medium Risk"
393,0,"low risk"
394,2,"HIGH RISK"
395,0,"low risk"
396,2,"HIGH RISK"
397,1,"Medium Risk"
399,1,"Medium Risk"
401,1,"Medium Risk"
403,2,"HIGH RISK"
404,0,"low risk"
405,1,"Medium Risk"
406,0,"low risk"
407,1,"Medium Risk"
408,0,"low risk"
410,0,"low risk"
411,1,"Medium Risk"
412,1,"Medium Risk"
416,0,"low risk"
417,0,"low risk"
419,1,"Medium Risk"
420,1,"Medium Risk"
421,0,"low risk"
422,2,"HIGH RISK"
423,2,"HIGH RISK"
424,1,"Medium Risk"
425,2,"HIGH RISK"
426,2,"HIGH RISK"
428,0,"low risk"
429,2,"HIGH RISK"
430,1,"Medium Risk"
431,1,"Medium Risk"
433,1,"Medium Risk"
434,2,"HIGH RISK"
436,1,"Medium Risk"
437,2,"HIGH RISK"
438,0,"low risk"
439,1,"Medium Risk"
440,2,"HIGH RISK"
441,0,"low risk"
442,0,"low risk"
444,0,"low risk"
445,2,"HIGH RISK"
446,1,"Medium Risk"
447,0,"low risk"
448,1,"Medium Risk"
449,1,"Medium Risk"
450,1,"Medium Risk"
451,1,"Medium Risk"
452,1,"Medium Risk"
453,1,"Medium Risk"
454,3,"HIGH RISK"
455,0,"low risk"
456,0,"low risk"
458,0,"low risk"
460,0,"low risk"
461,1,"Medium Risk"
462,2,"HIGH RISK"
463,1,"Medium Risk"
464,1,"Medium Risk"
465,1,"Medium Risk"
466,1,"Medium Risk"
467,1,"Medium Risk"
468,0,"low risk"
469,1,"Medium Risk"
470,2,"HIGH RISK"
471,1,"Medium Risk"
473,0,"low risk"
474,3,"HIGH RISK"
475,2,"HIGH RISK"
476,0,"low risk"
477,0,"low risk"
478,2,"HIGH RISK"
479,0,"low risk"
481,0,"low risk"
482,1,"Medium Risk"
483,2,"HIGH RISK"
484,0,"low risk"
485,1,"Medium Risk"
486,1,"Medium Risk"
487,0,"low risk"
488,0,"low risk"
491,0,"low risk"
492,2,"HIGH RISK"
493,2,"HIGH RISK"
494,0,"low risk"
495,1,"Medium Risk"
496,0,"low risk"
497,1,"Medium Risk"
498,0,"low risk"
499,0,"low risk"
500,1,"Medium Risk"
501,1,"Medium Risk"
502,1,"Medium Risk"
505,1,"Medium Risk"
507,2,"HIGH RISK"
508,1,"Medium Risk"
510,1,"Medium Risk"
511,1,"Medium Risk"
513,0,"low risk"
514,2,"HIGH RISK"
515,1,"Medium Risk"
516,0,"low risk"
517,2,"HIGH RISK"
518,1,"Medium Risk"
520,0,"low risk"
521,1,"Medium Risk"
522,1,"Medium Risk"
523,1,"Medium Risk"
524,2,"HIGH RISK"
525,1,"Medium Risk"
526,1,"Medium Risk"
527,2,"HIGH RISK"
529,2,"HIGH RISK"
530,2,"HIGH RISK"
531,1,"Medium Risk"
532,2,"HIGH RISK"
533,1,"Medium Risk"
534,1,"Medium Risk"
536,2,"HIGH RISK"
538,2,"HIGH RISK"
543,1,"Medium Risk"
544,1,"Medium Risk"
546,0,"low risk"
547,1,"Medium Risk"
548,0,"low risk"
549,1,"Medium Risk"
550,1,"Medium Risk"
551,1,"Medium Risk"
554,2,"HIGH RISK"
555,1,"Medium Risk"
556,2,"HIGH RISK"
558,0,"low risk"
560,1,"Medium Risk"
562,1,"Medium Risk"
564,0,"low risk"
565,1,"Medium Risk"
566,0,"low risk"
567,1,"Medium Risk"
568,0,"low risk"
569,0,"low risk"
571,1,"Medium Risk"
573,1,"Medium Risk"
574,1,"Medium Risk"
575,0,"low risk"
577,1,"Medium Risk"
578,1,"Medium Risk"
579,1,"Medium Risk"
580,1,"Medium Risk"
581,0,"low risk"
582,1,"Medium Risk"
584,1,"Medium Risk"
585,1,"Medium Risk"
586,1,"Medium Risk"
